iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4314062  38.2842713
        1   0.7070000   0.4314062   1.0865000   0.7906250  24.3110423
        2   0.7681555   0.3410806   1.0505000   0.8328125  25.1375242
        3   0.8069474   0.2840562   1.0330000   0.8614583  25.6644794
        4   0.8335766   0.2447025   1.0235000   0.8828125  26.0241325
        5   0.8531657   0.2160265   1.0175000   0.8989583  26.2914338
        6   0.8680961   0.1941988   1.0135000   0.9114583  26.4954525
        7   0.8798154   0.1770041   1.0105000   0.9213542  26.6549774
        8   0.8890534   0.1630835   1.0090000   0.9302083  26.7770629
        9   0.8970549   0.1517016   1.0070000   0.9369792  26.8895602
       10   0.9033343   0.1421412   1.0060000   0.9432292  26.9715644
       11   0.9087543   0.1340718   1.0055000   0.9484375  27.0441706
       12   0.9137524   0.1271587   1.0045000   0.9526042  27.1164088
       13   0.9178643   0.1211319   1.0035000   0.9562500  27.1724426
       14   0.9210769   0.1158324   1.0035000   0.9598958  27.2103113
       15   0.9243006   0.1111870   1.0030000   0.9630208  27.2550397
       16   0.9270735   0.1070754   1.0030000   0.9656250  27.2923531
       17   0.9298547   0.1033947   1.0020000   0.9677083  27.3342108
       18   0.9317145   0.1000559   1.0025000   0.9703125  27.3534234
       19   0.9340437   0.0970855   1.0020000   0.9723958  27.3896015
       20   0.9359118   0.0944055   1.0015000   0.9739583  27.4156393
       21   0.9373157   0.0919471   1.0015000   0.9760417  27.4307619
       22   0.9387217   0.0897442   1.0015000   0.9776042  27.4484999
       23   0.9401298   0.0877343   1.0015000   0.9786458  27.4682275
       24   0.9415399   0.0858608   1.0015000   0.9796875  27.4893789
       25   0.9429523   0.0841167   1.0010000   0.9807292  27.5118846
