iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4141500  39.0842712
        1   0.7070000   0.4141500   1.0940000   0.7735000  24.4697997
        2   0.7734580   0.3203450   1.0540000   0.8150000  25.3364221
        3   0.8152247   0.2610812   1.0355000   0.8440000  25.8777143
        4   0.8441652   0.2203525   1.0250000   0.8650000  26.2564050
        5   0.8652693   0.1906049   1.0185000   0.8810000  26.5320460
        6   0.8812768   0.1679229   1.0140000   0.8935000  26.7398405
        7   0.8936147   0.1500392   1.0115000   0.9040000  26.8956634
        8   0.9038913   0.1356354   1.0095000   0.9125000  27.0307680
        9   0.9124782   0.1237673   1.0075000   0.9195000  27.1454687
       10   0.9193218   0.1138040   1.0065000   0.9255000  27.2314312
       11   0.9252974   0.1053256   1.0055000   0.9305000  27.3088798
       12   0.9303865   0.0980055   1.0050000   0.9355000  27.3737649
       13   0.9350385   0.0916841   1.0040000   0.9390000  27.4370708
       14   0.9387786   0.0860914   1.0040000   0.9430000  27.4824568
       15   0.9425338   0.0811842   1.0030000   0.9455000  27.5356696
       16   0.9453614   0.0767597   1.0030000   0.9485000  27.5678612
       17   0.9481974   0.0728065   1.0030000   0.9510000  27.6053840
       18   0.9510420   0.0692390   1.0020000   0.9530000  27.6473120
       19   0.9529441   0.0659848   1.0025000   0.9555000  27.6659654
       20   0.9553265   0.0630485   1.0020000   0.9575000  27.7016364
       21   0.9572371   0.0603689   1.0020000   0.9590000  27.7267386
       22   0.9591516   0.0578938   1.0015000   0.9605000  27.7541567
       23   0.9605903   0.0556070   1.0015000   0.9620000  27.7701526
       24   0.9620312   0.0534939   1.0015000   0.9635000  27.7880859
       25   0.9634743   0.0515414   1.0015000   0.9650000  27.8078141
       26   0.9649195   0.0497374   1.0010000   0.9660000  27.8292083
